,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
50,0.016351938247680664,0.002304727436436576,0.00939504305521647,0.0028879094958671114,1,auto,linear,25,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear', 'max_iter': 25}",0.6106545763672429,0.2504958911873052,0.2550297534712383,0.3720600736752621,0.16872194386608919,132
51,1.223950703938802,0.01539484001932896,0.4478713671366374,0.012836910539786542,1,auto,linear,-1,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear', 'max_iter': -1}",0.761688863700765,0.7619722300935109,0.7619722300935109,0.7618777746292623,0.00013358019858063737,3
52,0.010631402333577475,0.0005421688930851282,0.0020852883656819663,0.00011969631104455413,1,auto,poly,5,"{'C': 1, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 5}",0.23859450269198074,0.2453952961178804,0.7242844998583168,0.40275809955605935,0.22737044995088387,121
53,0.012389580408732096,0.00011709990802420021,0.003428379694620768,0.0011745303964020145,1,auto,poly,10,"{'C': 1, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 10}",0.7146500425049589,0.24709549447435533,0.760272031737036,0.5740058562387834,0.231909651871995,82
54,0.015079657236735025,0.001722708478328964,0.008534510930379232,0.001153808090509713,1,auto,poly,25,"{'C': 1, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 25}",0.24596202890337207,0.25106262397279683,0.23916123547747237,0.24539529611788044,0.004875219760296193,153
55,3.624856869379679,0.17577664666774087,0.4604055881500244,0.012578410527652545,1,auto,poly,-1,"{'C': 1, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': -1}",0.7478039104562199,0.7534712383111363,0.7557381694531029,0.752337772740153,0.003336832291046725,21
56,0.012659072875976562,0.0029066934223673435,0.003911336263020833,4.035891291302362e-05,1,auto,rbf,5,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': 5}",0.578917540379711,0.7081326154718051,0.6749787475205441,0.6540096344573533,0.054796056334718915,62
57,0.011850992838541666,0.0032782943742542757,0.009209553400675455,0.0038469536897471003,1,auto,rbf,10,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': 10}",0.6914139982998017,0.7288183621422499,0.695664494190989,0.7052989515443469,0.016721018409670642,39
58,0.018997033437093098,0.0007458408524458019,0.024537324905395508,0.006104985084445207,1,auto,rbf,25,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': 25}",0.6421082459620289,0.7231510342873335,0.6222725984698215,0.6625106262397279,0.0436371977712735,55
59,1.9557477633158367,0.04488882638185059,1.810882329940796,0.013466672850438004,1,auto,rbf,-1,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': -1}",0.7591385661660527,0.7611221309152735,0.7611221309152735,0.7604609426655332,0.0009350613900644093,15
