,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
733,0.027963002522786457,0.005134808431860874,0.007177432378133138,0.0025897472321711437,0.00019109167717996028,{'ccp_alpha': 0.00019109167717996028},0.760272031737036,0.7631056956644942,0.76338906205724,0.7622555964862566,0.0014073547204828019,1314
734,0.03330890337626139,0.0040011743418129405,0.005852301915486653,0.0016656930654900183,0.00019109167717996028,{'ccp_alpha': 0.00019109167717996028},0.7625389628790026,0.7628223292717484,0.7622555964862567,0.7625389628790025,0.00023136769082680397,1154
735,0.029379526774088543,0.008588945651420894,0.006933848063151042,0.0022333366031936975,0.0001915458568663718,{'ccp_alpha': 0.0001915458568663718},0.7628223292717484,0.76338906205724,0.7625389628790026,0.7629167847359969,0.0003534199855269403,768
736,0.030211846033732098,0.001808002691995968,0.004792690277099609,6.562475901171075e-05,0.00019286332105095084,{'ccp_alpha': 0.00019286332105095084},0.7631056956644942,0.761688863700765,0.7631056956644942,0.7626334183432512,0.0006679009929031345,1040
737,0.028507153193155926,0.006182703649657834,0.006833950678507487,0.0029290190726051508,0.00019286332105095095,{'ccp_alpha': 0.00019286332105095095},0.7628223292717484,0.76338906205724,0.7628223292717484,0.7630112402002456,0.00026716039716122243,579
738,0.027242342631022137,0.006024358141627863,0.007745027542114258,0.00421948473220559,0.00019286332105095095,{'ccp_alpha': 0.00019286332105095095},0.7622555964862567,0.7631056956644942,0.7631056956644942,0.7628223292717484,0.00040074059574185983,816
739,0.022121349970499676,0.001624557493000489,0.00848078727722168,0.0032089487421015444,0.00019286332105095095,{'ccp_alpha': 0.00019286332105095095},0.7631056956644942,0.7631056956644942,0.7631056956644942,0.763105695664494,1.1102230246251565e-16,537
740,0.025294939676920574,0.004201546810756772,0.006000995635986328,0.0019015080415174781,0.000192863321050951,{'ccp_alpha': 0.000192863321050951},0.7605553981297818,0.7631056956644942,0.7625389628790026,0.7620666855577595,0.001093401048719206,1356
741,0.023142019907633465,0.0028797269441875103,0.004616260528564453,5.2586657398556545e-05,0.00019352128453366903,{'ccp_alpha': 0.00019352128453366903},0.76338906205724,0.7625389628790026,0.7625389628790026,0.7628223292717484,0.00040074059574185983,816
742,0.029306888580322266,0.0028247457819347054,0.005024830500284831,0.0003961232355015939,0.0001940995886899194,{'ccp_alpha': 0.0001940995886899194},0.7625389628790026,0.7611221309152735,0.7631056956644942,0.7622555964862568,0.000834208072761653,1282
