,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
98,0.020406802495320637,0.004922337249580875,0.16085433959960938,0.011860634459430001,kd_tree,5,1,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 1, 'weights': 'uniform'}",0.6409747803910456,0.6200056673278549,0.6401246812128082,0.6337017096439029,0.009690780790539812,227
99,0.01690061887105306,0.001978306251560259,0.11396368344624837,0.005680282111066079,kd_tree,5,1,distance,"{'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 1, 'weights': 'distance'}",0.6409747803910456,0.6200056673278549,0.6401246812128082,0.6337017096439029,0.009690780790539812,227
100,0.023482720057169598,0.004740393980377195,0.2722806930541992,0.014641468738476318,kd_tree,5,3,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 3, 'weights': 'uniform'}",0.6953811277982431,0.6891470671578351,0.6916973646925475,0.692075186549542,0.0025590284658815413,147
101,0.020064274470011394,0.005982110282092108,0.1698915958404541,0.004695803947033968,kd_tree,5,3,distance,"{'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 3, 'weights': 'distance'}",0.662510626239728,0.6474922074241994,0.6582601303485407,0.6560876546708228,0.006320757542012549,203
102,0.016834179560343426,0.0025391356621946863,0.2986179192860921,0.01476577223547713,kd_tree,5,5,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 5, 'weights': 'uniform'}",0.7231510342873335,0.7206007367526212,0.7211674695381127,0.7216397468593558,0.001093401048719206,98
103,0.012813568115234375,5.909350897577273e-05,0.2142666975657145,0.00887468387445651,kd_tree,5,5,distance,"{'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 5, 'weights': 'distance'}",0.678095777840748,0.6568432983848116,0.6826296401246812,0.6725229054500802,0.011240597110276529,183
104,0.02071825663248698,0.0029515434940120574,0.339932123819987,0.034499563876565977,kd_tree,5,10,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 10, 'weights': 'uniform'}",0.7529045055256447,0.7568716350240862,0.7546047038821195,0.7547936148106169,0.0016250732534320595,70
105,0.01532443364461263,0.0032452948253029663,0.29656195640563965,0.023820945917052645,kd_tree,5,10,distance,"{'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 10, 'weights': 'distance'}",0.6965145933692264,0.6837631056956645,0.693964295834514,0.6914139982998017,0.005509272342086603,169
106,0.01725633939107259,0.003102479291708806,0.4482109546661377,0.03594710055753752,kd_tree,5,25,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 25, 'weights': 'uniform'}",0.7605553981297818,0.7611221309152735,0.761688863700765,0.7611221309152735,0.00046273538165356263,40
107,0.015493392944335938,0.0028596951860762466,0.40610408782958984,0.017347487886888446,kd_tree,5,25,distance,"{'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 25, 'weights': 'distance'}",0.7140833097194673,0.7001983564749221,0.7194672711816379,0.7112496457920091,0.008117676471092993,127
108,0.018769025802612305,0.0015063226204005743,0.6962494055430094,0.04665338869319968,kd_tree,5,50,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 50, 'weights': 'uniform'}",0.761688863700765,0.7619722300935109,0.761688863700765,0.7617833191650137,0.00013358019858063737,19
109,0.025148868560791016,0.006677098313639657,0.6268449624379476,0.008117972133265225,kd_tree,5,50,distance,"{'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 50, 'weights': 'distance'}",0.7214508359308586,0.7115330121847548,0.7268347973930291,0.7199395485028809,0.006337673069695383,109
110,0.037357330322265625,0.004865596329349414,0.8442513147989908,0.05403413976434052,kd_tree,5,100,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 100, 'weights': 'uniform'}",0.7619722300935109,0.7619722300935109,0.7619722300935109,0.7619722300935109,0.0,1
111,0.021929264068603516,0.0049963100892210024,0.6726576487223307,0.040913668201144886,kd_tree,5,100,distance,"{'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 100, 'weights': 'distance'}",0.7274015301785208,0.7177670728251629,0.7296684613204873,0.724945688108057,0.005159724297250447,73
112,0.024361451466878254,0.005512725275886068,0.18384027481079102,0.011219478437771366,kd_tree,10,1,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 1, 'weights': 'uniform'}",0.6412581467837914,0.6200056673278549,0.6389912156418249,0.6334183432511571,0.00952924099000028,231
113,0.014369328816731771,0.003415271852723438,0.09137630462646484,0.0007342461594753451,kd_tree,10,1,distance,"{'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 1, 'weights': 'distance'}",0.6412581467837914,0.6200056673278549,0.6389912156418249,0.6334183432511571,0.00952924099000028,231
114,0.01607934633890788,0.003046981091488718,0.21785998344421387,0.010951463977867943,kd_tree,10,3,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'uniform'}",0.6945310286200057,0.687730235194106,0.6902805327288184,0.69084726551431,0.002805184170193157,179
115,0.019045035044352215,0.0015818116005722781,0.13676722844441733,0.010849144171396631,kd_tree,10,3,distance,"{'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'distance'}",0.6619438934542363,0.6469254746387079,0.6571266647775574,0.6553320109568338,0.006261193319798447,215
116,0.01612099011739095,0.0019153777081291278,0.22774998346964517,0.009409733228249662,kd_tree,10,5,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 5, 'weights': 'uniform'}",0.7234344006800794,0.720884103145367,0.7206007367526212,0.7216397468593558,0.001274273879591198,98
117,0.01604000727335612,0.0021117915142494685,0.17353105545043945,0.008981996656854143,kd_tree,10,5,distance,"{'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 5, 'weights': 'distance'}",0.6778124114480023,0.6568432983848116,0.6814961745536979,0.6720506281288373,0.010857860013598973,190
118,0.014833370844523111,0.00289726366104528,0.2716083526611328,0.016542484239142063,kd_tree,10,10,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 10, 'weights': 'uniform'}",0.7526211391328989,0.7568716350240862,0.7546047038821195,0.7546991593463682,0.001736542581548151,72
119,0.017191966374715168,0.0027448037217298184,0.2108597755432129,0.0072342707094372695,kd_tree,10,10,distance,"{'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 10, 'weights': 'distance'}",0.6959478605837348,0.6843298384811561,0.6936809294417682,0.691319542835553,0.005028367490018394,175
120,0.014467716217041016,0.003003132025277433,0.3655560811360677,0.0110906214444244,kd_tree,10,25,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 25, 'weights': 'uniform'}",0.760272031737036,0.7611221309152735,0.7619722300935109,0.7611221309152735,0.0006941030724803665,40
121,0.015468358993530273,0.0026275627845785588,0.2905890146891276,0.007563224619583778,kd_tree,10,25,distance,"{'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 25, 'weights': 'distance'}",0.7140833097194673,0.7001983564749221,0.7194672711816379,0.7112496457920091,0.008117676471092993,127
