,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3271,1.1400122165679931,0.01860426852955566,0.013886260986328124,0.003646883338418033,log_loss,5,,,50,"{'criterion': 'log_loss', 'max_depth': 5, 'max_features': None, 'max_samples': None, 'n_estimators': 50}",0.7625118035882908,0.7629839471199245,0.7638167217760983,0.7628719886632026,0.7628719886632026,0.7630112899621437,0.0004330737533928381,2264
3272,2.27020525932312,0.0346375086807911,0.022312116622924805,0.007370270225744055,log_loss,5,,,100,"{'criterion': 'log_loss', 'max_depth': 5, 'max_features': None, 'max_samples': None, 'n_estimators': 100}",0.7625118035882908,0.7629839471199245,0.7638167217760983,0.7623996221067548,0.7628719886632026,0.7629168166508542,0.0004995740305676706,2424
3273,5.788417720794678,0.0659976927329975,0.057806539535522464,0.006010809319262147,log_loss,5,,,250,"{'criterion': 'log_loss', 'max_depth': 5, 'max_features': None, 'max_samples': None, 'n_estimators': 250}",0.7625118035882908,0.7629839471199245,0.7633443552196505,0.7623996221067548,0.7628719886632026,0.7628223433395647,0.00033947165440605115,2529
3274,11.403497219085693,0.12466243151674371,0.10924134254455567,0.011930889019595117,log_loss,5,,,500,"{'criterion': 'log_loss', 'max_depth': 5, 'max_features': None, 'max_samples': None, 'n_estimators': 500}",0.7625118035882908,0.7629839471199245,0.764289088332546,0.7623996221067548,0.7628719886632026,0.7630112899621437,0.0006747659388693094,2264
3275,23.569185972213745,0.35557414180363,0.2096390724182129,0.030204286756436216,log_loss,5,,,1000,"{'criterion': 'log_loss', 'max_depth': 5, 'max_features': None, 'max_samples': None, 'n_estimators': 1000}",0.7625118035882908,0.7629839471199245,0.7633443552196505,0.7628719886632026,0.7628719886632026,0.7629168166508542,0.00026658972429060527,2424
3276,0.03747348785400391,0.00581890699956739,0.008073139190673827,0.003645811401105796,log_loss,10,sqrt,0.01,5,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 5}",0.7407932011331445,0.7256846081208688,0.726027397260274,0.7269721303731695,0.6924893717524799,0.7223933417279873,0.015986283783065422,3420
3277,0.05730690956115723,0.008741921435698139,0.008237123489379883,0.002875118042343537,log_loss,10,sqrt,0.01,10,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 10}",0.7474032105760151,0.7521246458923513,0.7510628247520076,0.7406707605101559,0.7614548889938593,0.7505432661448779,0.006769941399060078,3245
3278,0.22417712211608887,0.015854500171155354,0.013487911224365235,0.003045530445998344,log_loss,10,sqrt,0.01,50,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 50}",0.7629839471199245,0.7629839471199245,0.7633443552196505,0.7614548889938593,0.7628719886632026,0.7627278254233122,0.0006561182560923136,2609
3279,0.4377003192901611,0.019958228223301608,0.030269432067871093,0.007861108406158775,log_loss,10,sqrt,0.01,100,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 100}",0.7629839471199245,0.7629839471199245,0.7633443552196505,0.7633443552196505,0.7628719886632026,0.7631057186684705,0.00019908849416844668,273
3280,1.0644419193267822,0.08929448456795462,0.07927479743957519,0.024621986352229668,log_loss,10,sqrt,0.01,250,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 250}",0.7629839471199245,0.7629839471199245,0.7633443552196505,0.7633443552196505,0.7628719886632026,0.7631057186684705,0.00019908849416844668,273
3281,2.0156497955322266,0.13281617016957614,0.1339491844177246,0.009619050269975934,log_loss,10,sqrt,0.01,500,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 500}",0.7629839471199245,0.7629839471199245,0.7633443552196505,0.7633443552196505,0.7628719886632026,0.7631057186684705,0.00019908849416844668,273
3282,4.330126857757568,0.19701820867378933,0.27233214378356935,0.02214279537129347,log_loss,10,sqrt,0.01,1000,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 1000}",0.7629839471199245,0.7629839471199245,0.7633443552196505,0.7633443552196505,0.7628719886632026,0.7631057186684705,0.00019908849416844668,273
3283,0.050556182861328125,0.003270934607316344,0.005892562866210938,0.0018684727442043582,log_loss,10,sqrt,0.1,5,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 5}",0.7549575070821529,0.7459867799811143,0.7487009919697686,0.7496457250826641,0.7520075578649031,0.7502597123961207,0.0030393676943299033,3253
3284,0.07097716331481933,0.009131322829443058,0.006511402130126953,0.0017348928677250867,log_loss,10,sqrt,0.1,10,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 10}",0.76109537299339,0.7596789423984891,0.7609825224374114,0.7623996221067548,0.759565422768068,0.7607443765408226,0.001043535506943335,2935
3285,0.2844210147857666,0.02190316292642062,0.020763111114501954,0.0049053834556562,log_loss,10,sqrt,0.1,50,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 50}",0.7629839471199245,0.7629839471199245,0.7633443552196505,0.761927255550307,0.7623996221067548,0.7627278254233123,0.0005019831023623733,2606
3286,0.5786838054656982,0.03524042318726655,0.032479715347290036,0.0026182884049478538,log_loss,10,sqrt,0.1,100,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 100}",0.7625118035882908,0.7629839471199245,0.7638167217760983,0.7633443552196505,0.7633443552196505,0.763200236584723,0.00043412336408240633,89
3287,1.4446176052093507,0.09539451438534567,0.0706627368927002,0.014199047765556687,log_loss,10,sqrt,0.1,250,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 250}",0.7629839471199245,0.7634560906515581,0.7638167217760983,0.7633443552196505,0.7628719886632026,0.7632946206860868,0.0003394912409027581,74
3288,2.8830525398254396,0.12332858887768548,0.16174960136413574,0.020770014097491307,log_loss,10,sqrt,0.1,500,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 500}",0.7625118035882908,0.7629839471199245,0.7628719886632026,0.7633443552196505,0.7628719886632026,0.7629168166508542,0.00026658972429060527,2424
3289,5.711374139785766,0.16497246628017911,0.28621726036071776,0.04540548596048354,log_loss,10,sqrt,0.1,1000,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 1000}",0.7625118035882908,0.7629839471199245,0.7638167217760983,0.7633443552196505,0.7628719886632026,0.7631057632734334,0.0004437715539621829,211
3290,0.06073365211486816,0.0074363471336863236,0.005730056762695312,0.0007090027646775871,log_loss,10,sqrt,0.25,5,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.25, 'n_estimators': 5}",0.7563739376770539,0.7540132200188857,0.7534246575342466,0.7553141237600378,0.7529522909777988,0.7544156459936046,0.0012591728482011122,3147
3291,0.0925757884979248,0.0062800728999305635,0.010420465469360351,0.0021761139650944496,log_loss,10,sqrt,0.25,10,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.25, 'n_estimators': 10}",0.7629839471199245,0.7625118035882908,0.761927255550307,0.7581483230987246,0.7614548889938593,0.7614052436702213,0.001708758151672197,2885
3292,0.371714448928833,0.03182429912994781,0.019635772705078124,0.003390878998849417,log_loss,10,sqrt,0.25,50,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.25, 'n_estimators': 50}",0.7620396600566572,0.7634560906515581,0.7623996221067548,0.761927255550307,0.7628719886632026,0.762538923405696,0.0005647892583143478,2671
3293,0.7709465026855469,0.04298199953924541,0.036922025680541995,0.00867480331060064,log_loss,10,sqrt,0.25,100,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.25, 'n_estimators': 100}",0.7620396600566572,0.7625118035882908,0.764289088332546,0.7628719886632026,0.7633443552196505,0.7630113791720694,0.0007689807883368594,2180
3294,1.8794806957244874,0.12488946078173002,0.07393884658813477,0.007393072613842724,log_loss,10,sqrt,0.25,250,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.25, 'n_estimators': 250}",0.7625118035882908,0.7629839471199245,0.7638167217760983,0.7638167217760983,0.7628719886632026,0.7632002365847229,0.0005269868695730218,92
3295,3.890132713317871,0.23091431819371164,0.1965397834777832,0.024124024986523853,log_loss,10,sqrt,0.25,500,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.25, 'n_estimators': 500}",0.7625118035882908,0.7629839471199245,0.7638167217760983,0.7628719886632026,0.7633443552196505,0.7631057632734334,0.0004437715539621829,211
