,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
771,0.023781394958496092,0.002719490303022052,0.11591792106628418,0.01562547143419603,kd_tree,50,3,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 50, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.6463644948064211,0.6468366383380547,0.6457250826641474,0.646669815777043,0.6589513462446859,0.6489094755660705,0.005035259319861768,1268
772,0.027046394348144532,0.0053535855412137736,0.5837178230285645,0.04294696522646728,kd_tree,50,3,3,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 50, 'n_neighbors': 3, 'p': 3, 'weights': 'uniform'}",0.6841359773371105,0.6874409820585458,0.6792631081719415,0.6854038734057629,0.6957959376476146,0.686407975724195,0.0054114741362853375,1011
773,0.02247796058654785,0.003344511522042156,0.49892482757568357,0.02478383684106156,kd_tree,50,3,3,distance,"{'algorithm': 'kd_tree', 'leaf_size': 50, 'n_neighbors': 3, 'p': 3, 'weights': 'distance'}",0.6458923512747875,0.6482530689329556,0.6457250826641474,0.649031648559282,0.6603684459140293,0.6498541194690404,0.005413602016577213,1230
774,0.023215675354003908,0.004115555650127937,0.5402373313903809,0.015971872682070353,kd_tree,50,3,5,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 50, 'n_neighbors': 3, 'p': 5, 'weights': 'uniform'}",0.6864966949952785,0.6898016997167139,0.6797354747283892,0.6868209730751063,0.6967406707605102,0.6879191026551996,0.005505726722292041,892
775,0.02396531105041504,0.0037246201908899814,0.48680758476257324,0.0240020053837918,kd_tree,50,3,5,distance,"{'algorithm': 'kd_tree', 'leaf_size': 50, 'n_neighbors': 3, 'p': 5, 'weights': 'distance'}",0.6496694995278565,0.6496694995278565,0.6461974492205952,0.6495040151157299,0.6589513462446859,0.6507983619273447,0.004286339821260896,1193
776,0.02154254913330078,0.002649357307248193,0.5492303371429443,0.042759168830745035,kd_tree,50,3,10,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 50, 'n_neighbors': 3, 'p': 10, 'weights': 'uniform'}",0.6817752596789424,0.6907459867799811,0.6787907416154936,0.6863486065186585,0.7009919697685404,0.6877305128723232,0.007775005309194339,904
777,0.025238609313964842,0.004819946413468419,0.4821441173553467,0.006262082197561149,kd_tree,50,3,10,distance,"{'algorithm': 'kd_tree', 'leaf_size': 50, 'n_neighbors': 3, 'p': 10, 'weights': 'distance'}",0.6449480642115203,0.6520302171860245,0.6461974492205952,0.6480869154463864,0.6608408124704771,0.6504206917070007,0.005734133403242977,1209
778,0.025167560577392577,0.0013716664622883004,0.5760209083557128,0.0053608269760186105,kd_tree,50,3,100,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 50, 'n_neighbors': 3, 'p': 100, 'weights': 'uniform'}",0.6798866855524079,0.6949952785646837,0.6769012753897025,0.6901275389702409,0.6986301369863014,0.6881081830926673,0.008431004661462174,875
779,0.02284235954284668,0.0016533029838065876,0.5232266902923584,0.02568481845903074,kd_tree,50,3,100,distance,"{'algorithm': 'kd_tree', 'leaf_size': 50, 'n_neighbors': 3, 'p': 100, 'weights': 'distance'}",0.6421152030217187,0.6529745042492918,0.6433632498819084,0.6476145488899386,0.6603684459140293,0.6492871903913774,0.006718909301779258,1255
780,0.025762414932250975,0.0028731692633326505,0.22564091682434081,0.018606870521457215,kd_tree,50,5,1,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 50, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.7181303116147308,0.7101038715769594,0.7090222012281531,0.7175247992442135,0.7146905999055266,0.7138943567139167,0.0037379969705352957,603
