,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2940,0.02523501714070638,0.0025829855745377445,0.00634463628133138,0.0002953089346069959,log_loss,3,10,0.01,5,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.01, 'n_estimators': 5}",0.7350524227826579,0.7588551997733068,0.7585718333805611,0.7508264853121753,0.011154546476421692,3187
2941,0.05099606513977051,0.007874922591536338,0.00818649927775065,0.0024228375227908212,log_loss,3,10,0.01,10,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.01, 'n_estimators': 10}",0.7577217342023236,0.7597052989515444,0.7591385661660527,0.7588551997733068,0.0008342080727616908,2694
2942,0.18811742464701334,0.017491015199224788,0.01742831865946452,0.005312299234013997,log_loss,3,10,0.01,50,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.01, 'n_estimators': 50}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2943,0.36636972427368164,0.0387177651133926,0.03380958239237467,0.004610294519162795,log_loss,3,10,0.01,100,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.01, 'n_estimators': 100}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2944,0.8125044504801432,0.09146263178701068,0.07052803039550781,0.010780885276018774,log_loss,3,10,0.01,250,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.01, 'n_estimators': 250}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2945,1.7081205050150554,0.08160229990351031,0.13093161582946777,0.00986314064725949,log_loss,3,10,0.01,500,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.01, 'n_estimators': 500}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2946,3.6564910411834717,0.20917540460309977,0.29388991991678876,0.0026260259541561197,log_loss,3,10,0.01,1000,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.01, 'n_estimators': 1000}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2947,0.04528204600016276,0.009822902259410387,0.00808103879292806,0.0022180632593680077,log_loss,3,10,0.1,5,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.1, 'n_estimators': 5}",0.7597052989515444,0.7591385661660527,0.7582884669878153,0.7590441107018041,0.0005822625864710456,2640
2948,0.05656758944193522,0.0060050607541024936,0.010141372680664062,0.002806254581622645,log_loss,3,10,0.1,10,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.1, 'n_estimators': 10}",0.7597052989515444,0.7599886653442902,0.7597052989515444,0.759799754415793,0.00013358019858063737,136
2949,0.21427528063456217,0.02097044109534414,0.01764829953511556,0.002806564003820081,log_loss,3,10,0.1,50,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.1, 'n_estimators': 50}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2950,0.43680500984191895,0.018990153339084236,0.03667966524759928,0.004732426461829319,log_loss,3,10,0.1,100,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.1, 'n_estimators': 100}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2951,0.9475308259328207,0.05742810848164496,0.06557575861612956,0.006736643485826171,log_loss,3,10,0.1,250,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.1, 'n_estimators': 250}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2952,1.9521559079488118,0.08825254592451072,0.13925846417744955,0.00922243689015138,log_loss,3,10,0.1,500,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.1, 'n_estimators': 500}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2953,4.863561153411865,0.3588127037406352,0.3859182993570964,0.0534643039248139,log_loss,3,10,0.1,1000,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.1, 'n_estimators': 1000}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2954,0.055961290995279946,0.007631261779188036,0.007623751958211263,0.0001748996330472891,log_loss,3,10,0.25,5,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.25, 'n_estimators': 5}",0.7597052989515444,0.7597052989515444,0.7591385661660527,0.7595163880230471,0.00026716039716127474,2368
2955,0.06869037946065266,0.010180812225041401,0.01447765032450358,0.004393196989659626,log_loss,3,10,0.25,10,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.25, 'n_estimators': 10}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2956,0.3450609842936198,0.036273832311016455,0.027275800704956055,0.008243304442466421,log_loss,3,10,0.25,50,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.25, 'n_estimators': 50}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2957,0.5727239449818929,0.01777143953295009,0.03496575355529785,0.007234643468388084,log_loss,3,10,0.25,100,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.25, 'n_estimators': 100}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2958,1.4307409922281902,0.08725666114361437,0.08820970853169759,0.017180737297528618,log_loss,3,10,0.25,250,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.25, 'n_estimators': 250}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2959,3.0478559335072837,0.24452812445369218,0.15004165967305502,0.031046623622770914,log_loss,3,10,0.25,500,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.25, 'n_estimators': 500}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2960,5.944710334142049,0.3676869346283466,0.26131105422973633,0.04313682937726925,log_loss,3,10,0.25,1000,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.25, 'n_estimators': 1000}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2961,0.05802234013875326,0.0016271723909353102,0.010934670766194662,0.003947484643876665,log_loss,3,10,0.5,5,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.5, 'n_estimators': 5}",0.7597052989515444,0.7597052989515444,0.7599886653442902,0.7597997544157931,0.00013358019858063737,74
2962,0.10380045572916667,0.004964094627137689,0.01846591631571452,0.010131765353725036,log_loss,3,10,0.5,10,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.5, 'n_estimators': 10}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2963,0.46721688906351727,0.037343323547859845,0.03769540786743164,0.015694877837753023,log_loss,3,10,0.5,50,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.5, 'n_estimators': 50}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2964,0.7117461363474528,0.010920924003851168,0.030585845311482746,0.0017338834017273173,log_loss,3,10,0.5,100,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.5, 'n_estimators': 100}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2965,1.6489647229512532,0.03613715702240865,0.07118002573649089,0.009635000458953099,log_loss,3,10,0.5,250,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.5, 'n_estimators': 250}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2966,3.0011730988820395,0.10875997333955961,0.12744855880737305,0.007442088974515735,log_loss,3,10,0.5,500,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.5, 'n_estimators': 500}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2967,5.825647751490275,0.25255424908403495,0.28652723630269367,0.004662533289521414,log_loss,3,10,0.5,1000,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.5, 'n_estimators': 1000}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2968,0.05505824089050293,0.008712617852017084,0.009311040242513021,0.0023471714074336817,log_loss,3,10,0.75,5,"{'criterion': 'log_loss', 'max_depth': 3, 'max_features': 10, 'max_samples': 0.75, 'n_estimators': 5}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
